wind_speed,rotor_position,distance,along_line,thrust,drag_force,weight,wind_at_rotor
6.0,1,60.0,117.08907693588552,117.5363381878811,1.0018557754920634,49.050000000000004,6.0
6.0,2,45.0,121.73166721057757,123.60957439483983,0.9310653571291014,49.050000000000004,6.0
6.0,3,30.0,122.83313022056448,127.16621388256034,0.8598538268483423,49.050000000000004,6.0
6.0,4,15.0,128.1158827712049,136.33807474624592,0.7908921534591653,49.050000000000004,6.0
8.0,1,60.0,182.23087519234366,182.9269675309604,1.5725151807210065,49.050000000000004,8.0
8.0,2,45.0,189.86215641258622,192.7910862113538,1.4663414293993169,49.050000000000004,8.0
8.0,3,30.0,195.87359101826556,202.7832631525967,1.3601724759971883,49.050000000000004,8.0
8.0,4,15.0,202.3677163641831,215.35522562147355,1.252761845302126,49.050000000000004,8.0
10.0,1,60.0,263.94655637752584,264.95478934301394,2.3087740759730835,49.050000000000004,10.0
10.0,2,45.0,269.2070310301482,273.359983414764,2.1604848403854096,49.050000000000004,10.0
10.0,3,30.0,283.15231660675795,293.1408488109109,2.0033577431866703,49.050000000000004,10.0
10.0,4,15.0,293.8631504387887,312.722632846704,1.846938607202339,49.050000000000004,10.0
12.0,1,60.0,352.08893585116226,353.43385838692376,3.2120197672674675,49.050000000000004,12.0
12.0,2,45.0,372.7805723290423,378.5313135369083,2.995380181259889,49.050000000000004,12.0
12.0,3,30.0,405.6295977606391,419.9386606309128,2.7696706889941956,49.050000000000004,12.0
12.0,4,15.0,421.5280600723435,448.58079200387897,2.551460694429413,49.050000000000004,12.0
