wind_speed,distance_from_anchor,tension,wind_at_rotor
4.0,60.0,0.5287699024598479,455.49635756358333
4.0,45.0,456.51297473818755,435.1084773328778
4.0,30.0,892.0569422129327,396.85514820699746
4.0,15.0,1289.2707561888806,333.8005125647742
4.0,0.0,1623.0712687536547,0.0
6.0,60.0,1.1897322805346577,1024.8668045180625
6.0,45.0,1027.154193160922,978.9940739989751
6.0,30.0,2007.1281199790985,892.9240834657445
6.0,15.0,2900.859201424982,751.0511532707419
6.0,0.0,3651.910354695724,0.0
8.0,60.0,2.1150796098393916,1821.9854302543333
8.0,45.0,1826.0518989527502,1740.4339093315111
8.0,30.0,3568.2277688517306,1587.4205928279898
8.0,15.0,5157.083024755522,1335.2020502590967
8.0,0.0,6492.285075014619,0.0
10.0,60.0,3.304811890374049,2846.852234772396
10.0,45.0,2853.2060921136726,2719.4279833304863
10.0,30.0,5575.35588883083,2480.3446762937347
10.0,15.0,8057.942226180506,2086.253203529838
10.0,0.0,10144.195429710344,0.0
12.0,60.0,4.758929122138631,4099.46721807225
12.0,45.0,4108.616772643688,3915.9762959959003
12.0,30.0,8028.512479916394,3571.696333862978
12.0,15.0,11603.436805699928,3004.2046130829676
12.0,0.0,14607.641418782896,0.0
14.0,60.0,6.4774313051331385,5579.830380153898
14.0,45.0,5592.283940542799,5330.0788473277535
14.0,30.0,10927.697542108428,4861.47556553572
14.0,15.0,15793.566763313793,4089.0562789184833
14.0,0.0,19882.623042232277,0.0
16.0,60.0,8.460318439357566,7287.941721017333
16.0,45.0,7304.207595811001,6961.7356373260445
16.0,30.0,14272.911075406922,6349.682371311959
16.0,15.0,20628.33209902209,5340.808201036387
16.0,0.0,25969.140300058476,0.0
