radius	n_rotors	profile	elevation	wind_speed	anchor_tension	iterations
1.5	4	bottom_lifty	55.0	12.0	52.753095513250265	20
1.5	4	graded	45.0	6.0	0.0	3
1.5	4	graded	45.0	8.0	0.0	3
1.5	4	graded	45.0	10.0	0.0	4
1.5	4	graded	45.0	12.0	52.75309551334713	20
1.5	4	graded	55.0	6.0	0.0	3
1.5	4	graded	55.0	8.0	0.0	3
1.5	4	graded	55.0	10.0	0.0	4
1.5	4	graded	55.0	12.0	52.753095513250265	20
2.0	1	uniform	45.0	6.0	0.0	20
2.0	1	uniform	45.0	8.0	89.81358720328751	6
2.0	1	uniform	45.0	10.0	142.22451453925788	3
2.0	1	uniform	45.0	12.0	206.58309714009698	3
2.0	1	uniform	55.0	6.0	0.0	20
2.0	1	uniform	55.0	8.0	89.82984430061416	8
2.0	1	uniform	55.0	10.0	142.24744164827518	5
2.0	1	uniform	55.0	12.0	206.64999734998398	5
2.0	1	top_draggy	45.0	6.0	0.0	20
2.0	1	top_draggy	45.0	8.0	89.81358720328751	6
2.0	1	top_draggy	45.0	10.0	142.22451453925788	3
2.0	1	top_draggy	45.0	12.0	206.58309714009698	3
2.0	1	top_draggy	55.0	6.0	0.0	20
2.0	1	top_draggy	55.0	8.0	89.82984430061416	8
2.0	1	top_draggy	55.0	10.0	142.24744164827518	5
2.0	1	top_draggy	55.0	12.0	206.64999734998398	5
2.0	1	bottom_lifty	45.0	6.0	0.0	20
2.0	1	bottom_lifty	45.0	8.0	89.81358720328751	6
2.0	1	bottom_lifty	45.0	10.0	142.22451453925788	3
2.0	1	bottom_lifty	45.0	12.0	206.58309714009698	3
2.0	1	bottom_lifty	55.0	6.0	0.0	20
2.0	1	bottom_lifty	55.0	8.0	89.82984430061416	8
2.0	1	bottom_lifty	55.0	10.0	142.24744164827518	5
2.0	1	bottom_lifty	55.0	12.0	206.64999734998398	5
2.0	1	graded	45.0	6.0	0.0	20
2.0	1	graded	45.0	8.0	89.81358720328751	6
2.0	1	graded	45.0	10.0	142.22451453925788	3
2.0	1	graded	45.0	12.0	206.58309714009698	3
2.0	1	graded	55.0	6.0	0.0	20
2.0	1	graded	55.0	8.0	89.82984430061416	8
2.0	1	graded	55.0	10.0	142.24744164827518	5
2.0	1	graded	55.0	12.0	206.64999734998398	5
2.0	2	uniform	45.0	6.0	39.997359006102435	20
2.0	2	uniform	45.0	8.0	179.6655352600437	6
2.0	2	uniform	45.0	10.0	284.40284752597944	3
2.0	2	uniform	45.0	12.0	413.2199312246369	3
2.0	2	uniform	55.0	6.0	39.99573360705102	20
2.0	2	uniform	55.0	8.0	179.6852891516268	8
2.0	2	uniform	55.0	10.0	284.43138787791327	5
2.0	2	uniform	55.0	12.0	413.2787213651594	5
2.0	2	top_draggy	45.0	6.0	39.997359006102435	20
2.0	2	top_draggy	45.0	8.0	179.6655352600437	6
2.0	2	top_draggy	45.0	10.0	284.40284752597944	3
2.0	2	top_draggy	45.0	12.0	413.2199312246369	3
2.0	2	top_draggy	55.0	6.0	39.99573360705102	20
2.0	2	top_draggy	55.0	8.0	179.6852891516268	8
2.0	2	top_draggy	55.0	10.0	284.43138787791327	5
2.0	2	top_draggy	55.0	12.0	413.2787213651594	5
2.0	2	bottom_lifty	45.0	6.0	39.997359006102435	20
2.0	2	bottom_lifty	45.0	8.0	179.6655352600437	6
2.0	2	bottom_lifty	45.0	10.0	284.40284752597944	3
2.0	2	bottom_lifty	45.0	12.0	413.2199312246369	3
2.0	2	bottom_lifty	55.0	6.0	39.99573360705102	20
2.0	2	bottom_lifty	55.0	8.0	179.6852891516268	8
2.0	2	bottom_lifty	55.0	10.0	284.43138787791327	5
2.0	2	bottom_lifty	55.0	12.0	413.2787213651594	5
2.0	2	graded	45.0	6.0	39.997359006102435	20
2.0	2	graded	45.0	8.0	179.6655352600437	6
2.0	2	graded	45.0	10.0	284.40284752597944	3
2.0	2	graded	45.0	12.0	413.2199312246369	3
2.0	2	graded	55.0	6.0	39.99573360705102	20
2.0	2	graded	55.0	8.0	179.6852891516268	8
2.0	2	graded	55.0	10.0	284.43138787791327	5
2.0	2	graded	55.0	12.0	413.2787213651594	5
2.0	3	uniform	45.0	6.0	79.97596021426838	20
2.0	3	uniform	45.0	8.0	269.5260172585795	6
2.0	3	uniform	45.0	10.0	426.5398391817823	3
2.0	3	uniform	45.0	12.0	619.9789469955007	3
2.0	3	uniform	55.0	6.0	79.97539082524517	20
2.0	3	uniform	55.0	8.0	269.54668798303874	8
2.0	3	uniform	55.0	10.0	426.5748947194503	5
2.0	3	uniform	55.0	12.0	619.8306803370484	5
2.0	3	top_draggy	45.0	6.0	79.97596021426838	20
2.0	3	top_draggy	45.0	8.0	269.5260172585795	6
2.0	3	top_draggy	45.0	10.0	426.5398391817823	3
2.0	3	top_draggy	45.0	12.0	619.9789469955007	3
2.0	3	top_draggy	55.0	6.0	79.97539082524517	20
2.0	3	top_draggy	55.0	8.0	269.54668798303874	8
2.0	3	top_draggy	55.0	10.0	426.5748947194503	5
2.0	3	top_draggy	55.0	12.0	619.8306803370484	5
2.0	3	bottom_lifty	45.0	6.0	79.97596021426838	20
2.0	3	bottom_lifty	45.0	8.0	269.5260172585795	6
2.0	3	bottom_lifty	45.0	10.0	426.5398391817823	3
2.0	3	bottom_lifty	45.0	12.0	619.9789469955007	3
2.0	3	bottom_lifty	55.0	6.0	79.97539082524517	20
2.0	3	bottom_lifty	55.0	8.0	269.54668798303874	8
2.0	3	bottom_lifty	55.0	10.0	426.5748947194503	5
2.0	3	bottom_lifty	55.0	12.0	619.8306803370484	5
2.0	3	graded	45.0	6.0	79.97596021426838	20
2.0	3	graded	45.0	8.0	269.5260172585795	6
2.0	3	graded	45.0	10.0	426.5398391817823	3
2.0	3	graded	45.0	12.0	619.9789469955007	3
2.0	3	graded	55.0	6.0	79.97539082524517	20
2.0	3	graded	55.0	8.0	269.54668798303874	8
2.0	3	graded	55.0	10.0	426.5748947194503	5
2.0	3	graded	55.0	12.0	619.8306803370484	5
2.0	4	uniform	45.0	6.0	122.78131380643056	20
2.0	4	uniform	45.0	8.0	359.3841034254007	6
2.0	4	uniform	45.0	10.0	568.6000454261396	3
2.0	4	uniform	45.0	12.0	826.6895153311542	4
2.0	4	uniform	55.0	6.0	122.9177048756015	20
2.0	4	uniform	55.0	8.0	359.40818409393466	8
2.0	4	uniform	55.0	10.0	568.5859588524662	6
2.0	4	uniform	55.0	12.0	826.353298928617	6
2.0	4	top_draggy	45.0	6.0	122.78131380643056	20
2.0	4	top_draggy	45.0	8.0	359.3841034254007	6
2.0	4	top_draggy	45.0	10.0	568.6000454261396	3
2.0	4	top_draggy	45.0	12.0	826.6895153311542	4
2.0	4	top_draggy	55.0	6.0	122.9177048756015	20
2.0	4	top_draggy	55.0	8.0	359.40818409393466	8
2.0	4	top_draggy	55.0	10.0	568.5859588524662	6
2.0	4	top_draggy	55.0	12.0	826.353298928617	6
2.0	4	bottom_lifty	45.0	6.0	122.78131380643056	20
2.0	4	bottom_lifty	45.0	8.0	359.3841034254007	6
2.0	4	bottom_lifty	45.0	10.0	568.6000454261396	3
2.0	4	bottom_lifty	45.0	12.0	826.6895153311542	4
2.0	4	bottom_lifty	55.0	6.0	122.9177048756015	20
2.0	4	bottom_lifty	55.0	8.0	359.40818409393466	8
2.0	4	bottom_lifty	55.0	10.0	568.5859588524662	6
2.0	4	bottom_lifty	55.0	12.0	826.353298928617	6
2.0	4	graded	45.0	6.0	122.78131380643056	20
2.0	4	graded	45.0	8.0	359.3841034254007	6
2.0	4	graded	45.0	10.0	568.6000454261396	3
2.0	4	graded	45.0	12.0	826.6895153311542	4
2.0	4	graded	55.0	6.0	122.9177048756015	20
2.0	4	graded	55.0	8.0	359.40818409393466	8
2.0	4	graded	55.0	10.0	568.5859588524662	6
2.0	4	graded	55.0	12.0	826.353298928617	6
3.0	1	uniform	45.0	6.0	80.40874719763548	5
3.0	1	uniform	45.0	8.0	154.3971593540789	2
3.0	1	uniform	45.0	10.0	235.5169637230657	3
3.0	1	uniform	45.0	12.0	336.55484802901805	3
3.0	1	uniform	55.0	6.0	80.35050254564337	8
3.0	1	uniform	55.0	8.0	154.52083590069117	5
3.0	1	uniform	55.0	10.0	235.50340814160637	4
3.0	1	uniform	55.0	12.0	336.58836566517436	4
3.0	1	top_draggy	45.0	6.0	80.40874719763548	5
3.0	1	top_draggy	45.0	8.0	154.3971593540789	2
3.0	1	top_draggy	45.0	10.0	235.5169637230657	3
3.0	1	top_draggy	45.0	12.0	336.55484802901805	3
3.0	1	top_draggy	55.0	6.0	80.35050254564337	8
3.0	1	top_draggy	55.0	8.0	154.52083590069117	5
3.0	1	top_draggy	55.0	10.0	235.50340814160637	4
3.0	1	top_draggy	55.0	12.0	336.58836566517436	4
3.0	1	bottom_lifty	45.0	6.0	80.40874719763548	5
3.0	1	bottom_lifty	45.0	8.0	154.3971593540789	2
3.0	1	bottom_lifty	45.0	10.0	235.5169637230657	3
3.0	1	bottom_lifty	45.0	12.0	336.55484802901805	3
3.0	1	bottom_lifty	55.0	6.0	80.35050254564337	8
3.0	1	bottom_lifty	55.0	8.0	154.52083590069117	5
3.0	1	bottom_lifty	55.0	10.0	235.50340814160637	4
3.0	1	bottom_lifty	55.0	12.0	336.58836566517436	4
3.0	1	graded	45.0	6.0	80.40874719763548	5
3.0	1	graded	45.0	8.0	154.3971593540789	2
3.0	1	graded	45.0	10.0	235.5169637230657	3
3.0	1	graded	45.0	12.0	336.55484802901805	3
3.0	1	graded	55.0	6.0	80.35050254564337	8
3.0	1	graded	55.0	8.0	154.52083590069117	5
3.0	1	graded	55.0	10.0	235.50340814160637	4
3.0	1	graded	55.0	12.0	336.58836566517436	4
3.0	2	uniform	45.0	6.0	161.02959646542558	20
3.0	2	uniform	45.0	8.0	308.8357957656682	2
3.0	2	uniform	45.0	10.0	471.1095615680426	3
3.0	2	uniform	45.0	12.0	673.2797130015263	3
3.0	2	uniform	55.0	6.0	163.94809897627692	8
3.0	2	uniform	55.0	8.0	308.98982277716925	5
3.0	2	uniform	55.0	10.0	471.0377149047546	4
3.0	2	uniform	55.0	12.0	673.1307536906364	4
3.0	2	top_draggy	45.0	6.0	161.02959646542558	20
3.0	2	top_draggy	45.0	8.0	308.8357957656682	2
3.0	2	top_draggy	45.0	10.0	471.1095615680426	3
3.0	2	top_draggy	45.0	12.0	673.2797130015263	3
3.0	2	top_draggy	55.0	6.0	163.94809897627692	8
3.0	2	top_draggy	55.0	8.0	308.98982277716925	5
3.0	2	top_draggy	55.0	10.0	471.0377149047546	4
3.0	2	top_draggy	55.0	12.0	673.1307536906364	4
