radius	n_rotors	profile	elevation	wind_speed	tension_with_snel	tension_without_snel	snel_boost_pct
1.5	3	uniform	45.0	10.0	0.0	0.0	0.0
1.5	3	uniform	45.0	12.0	35.47962287888383	35.47962287888383	0.0
1.5	3	uniform	55.0	6.0	0.0	0.0	0.0
1.5	3	uniform	55.0	8.0	0.0	0.0	0.0
1.5	3	uniform	55.0	10.0	0.0	0.0	0.0
1.5	3	uniform	55.0	12.0	35.47962287879442	35.47962287879442	0.0
1.5	3	top_draggy	45.0	6.0	0.0	0.0	0.0
1.5	3	top_draggy	45.0	8.0	0.0	0.0	0.0
1.5	3	top_draggy	45.0	10.0	0.0	0.0	0.0
1.5	3	top_draggy	45.0	12.0	35.47962287888383	35.47962287888383	0.0
1.5	3	top_draggy	55.0	6.0	0.0	0.0	0.0
1.5	3	top_draggy	55.0	8.0	0.0	0.0	0.0
1.5	3	top_draggy	55.0	10.0	0.0	0.0	0.0
1.5	3	top_draggy	55.0	12.0	35.47962287879442	35.47962287879442	0.0
1.5	3	bottom_lifty	45.0	6.0	0.0	0.0	0.0
1.5	3	bottom_lifty	45.0	8.0	0.0	0.0	0.0
1.5	3	bottom_lifty	45.0	10.0	0.0	0.0	0.0
1.5	3	bottom_lifty	45.0	12.0	35.47962287888383	35.47962287888383	0.0
1.5	3	bottom_lifty	55.0	6.0	0.0	0.0	0.0
1.5	3	bottom_lifty	55.0	8.0	0.0	0.0	0.0
1.5	3	bottom_lifty	55.0	10.0	0.0	0.0	0.0
1.5	3	bottom_lifty	55.0	12.0	35.47962287879442	35.47962287879442	0.0
1.5	3	graded	45.0	6.0	0.0	0.0	0.0
1.5	3	graded	45.0	8.0	0.0	0.0	0.0
1.5	3	graded	45.0	10.0	0.0	0.0	0.0
1.5	3	graded	45.0	12.0	35.47962287888383	35.47962287888383	0.0
1.5	3	graded	55.0	6.0	0.0	0.0	0.0
1.5	3	graded	55.0	8.0	0.0	0.0	0.0
1.5	3	graded	55.0	10.0	0.0	0.0	0.0
1.5	3	graded	55.0	12.0	35.47962287879442	35.47962287879442	0.0
1.5	4	uniform	45.0	6.0	0.0	0.0	0.0
1.5	4	uniform	45.0	8.0	0.0	0.0	0.0
1.5	4	uniform	45.0	10.0	0.0	0.0	0.0
1.5	4	uniform	45.0	12.0	52.75309551334713	52.75309551334713	0.0
1.5	4	uniform	55.0	6.0	0.0	0.0	0.0
1.5	4	uniform	55.0	8.0	0.0	0.0	0.0
1.5	4	uniform	55.0	10.0	0.0	0.0	0.0
1.5	4	uniform	55.0	12.0	52.753095513250265	52.753095513250265	0.0
1.5	4	top_draggy	45.0	6.0	0.0	0.0	0.0
1.5	4	top_draggy	45.0	8.0	0.0	0.0	0.0
1.5	4	top_draggy	45.0	10.0	0.0	0.0	0.0
1.5	4	top_draggy	45.0	12.0	52.75309551334713	52.75309551334713	0.0
1.5	4	top_draggy	55.0	6.0	0.0	0.0	0.0
1.5	4	top_draggy	55.0	8.0	0.0	0.0	0.0
1.5	4	top_draggy	55.0	10.0	0.0	0.0	0.0
1.5	4	top_draggy	55.0	12.0	52.753095513250265	52.753095513250265	0.0
1.5	4	bottom_lifty	45.0	6.0	0.0	0.0	0.0
1.5	4	bottom_lifty	45.0	8.0	0.0	0.0	0.0
1.5	4	bottom_lifty	45.0	10.0	0.0	0.0	0.0
1.5	4	bottom_lifty	45.0	12.0	52.75309551334713	52.75309551334713	0.0
1.5	4	bottom_lifty	55.0	6.0	0.0	0.0	0.0
1.5	4	bottom_lifty	55.0	8.0	0.0	0.0	0.0
1.5	4	bottom_lifty	55.0	10.0	0.0	0.0	0.0
1.5	4	bottom_lifty	55.0	12.0	52.753095513250265	52.753095513250265	0.0
1.5	4	graded	45.0	6.0	0.0	0.0	0.0
1.5	4	graded	45.0	8.0	0.0	0.0	0.0
1.5	4	graded	45.0	10.0	0.0	0.0	0.0
1.5	4	graded	45.0	12.0	52.75309551334713	52.75309551334713	0.0
1.5	4	graded	55.0	6.0	0.0	0.0	0.0
1.5	4	graded	55.0	8.0	0.0	0.0	0.0
1.5	4	graded	55.0	10.0	0.0	0.0	0.0
1.5	4	graded	55.0	12.0	52.753095513250265	52.753095513250265	0.0
2.0	1	uniform	45.0	6.0	0.0	0.0	0.0
2.0	1	uniform	45.0	8.0	89.81358720328751	90.38920233347275	-0.636818464291371
2.0	1	uniform	45.0	10.0	142.22451453925788	142.93451566102496	-0.49673175053873964
2.0	1	uniform	45.0	12.0	206.58309714009698	207.31852967359427	-0.35473555338018536
2.0	1	uniform	55.0	6.0	0.0	0.0	0.0
