r_R,r_local,cl_2d,cl_3d,aoa_deg,re_local
0.07375000000000001,0.22125000000000003,0.3143376980333653,0.3143376980333653,64.88024345150328,18335.07396387791
0.12125000000000001,0.36375,0.4321505061298119,0.46347909281831995,55.46543550389474,30144.10465247724
0.16875000000000004,0.5062500000000001,0.5335611573268207,0.6832644758344323,47.361377716899725,41953.13534107658
0.21625000000000003,0.64875,0.6172613818539184,0.8129974716209014,40.672618219297135,53762.16602967589
0.26375000000000004,0.7912500000000001,0.6821814861024121,0.8552339233081773,35.484639736194254,65571.19671827523
0.31125,0.9337500000000001,0.7365955021158107,0.866250836988063,31.136237226300295,77380.22740687456
0.35875000000000007,1.0762500000000002,0.7823491450193947,0.8727262511302332,27.479913539591585,89189.25809547388
0.40625,1.21875,0.8210658111895673,0.8841497976483039,24.38593774652293,100998.28878407321
0.45375000000000004,1.36125,0.8540753350722181,0.8982600538993096,21.74803841436595,112807.31947267255
0.5012500000000001,1.5037500000000001,0.8824504723015406,0.9134089886472794,19.480488121511463,124616.35016127187
0.5487500000000001,1.6462500000000002,0.9070298189407539,0.9286305639582082,17.516271905763087,136425.38084987123
0.5962500000000001,1.7887500000000003,0.9284992092498943,0.9434052046857268,15.800582501710085,148234.41153847054
0.6437500000000002,1.9312500000000004,1.4536494921090968,1.4536494921090968,13.255693842741916,160043.4422270699
0.6912500000000001,2.0737500000000004,1.3335376577221416,1.3335376577221416,12.160405252083429,171852.47291566923
0.73875,2.21625,1.0503391802183237,1.0534916586535106,11.834600453855238,183661.5036042685
0.78625,2.35875,1.0713359311632782,1.0722470076810577,10.499246237390793,195470.53429286787
0.8337500000000001,2.50125,1.0237360518100072,1.024074835433169,9.637416120941031,207279.56498146718
0.8812500000000001,2.6437500000000003,0.9651511266813998,0.9652498390358254,8.898597524099019,219088.59567006648
0.9287500000000001,2.7862500000000003,0.9029961389256861,0.9030119376395173,8.2515362160874,230897.62635866588
0.9762500000000002,2.9287500000000004,0.8416896867298107,0.8416896867298107,7.675289578711162,242706.65704726518
