radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	total_lift	profile_min	profile_max	tip_speed	tip_reynolds
1.5	1	15.0	uniform	45.0	6.0	148.47461565253852	181.09608903449964	0.0	148.47461565253852	12.287280664334876	124739.65867798528
1.5	1	15.0	uniform	45.0	8.0	289.9445293460383	321.9486027279994	0.0	289.9445293460383	16.383040885779835	166319.54490398036
1.5	1	15.0	uniform	45.0	10.0	471.8344183805379	503.04469176249904	0.0	471.8344183805379	20.478801107224793	207899.43112997548
1.5	1	15.0	uniform	45.0	12.0	694.1442827560375	724.3843561379986	0.0	694.1442827560375	24.574561328669752	249479.31735597056
1.5	1	15.0	uniform	55.0	6.0	155.61208856578827	181.75442221080158	0.0	155.61208856578827	10.606601717798213	107677.51743897358
1.5	1	15.0	uniform	55.0	8.0	297.3828759377002	323.1189728192028	0.0	297.3828759377002	14.142135623730951	143570.02325196477
1.5	1	15.0	uniform	55.0	10.0	479.65960255872983	504.87339503000436	0.0	479.65960255872983	17.67766952966369	179462.52906495595
1.5	1	15.0	uniform	55.0	12.0	702.4422684288772	727.0176888432063	0.0	702.4422684288772	21.213203435596427	215355.03487794715
1.5	1	15.0	top_draggy	45.0	6.0	148.47461565253852	181.09608903449964	0.0	148.47461565253852	12.287280664334876	124739.65867798528
1.5	1	15.0	top_draggy	45.0	8.0	289.9445293460383	321.9486027279994	0.0	289.9445293460383	16.383040885779835	166319.54490398036
1.5	1	15.0	top_draggy	45.0	10.0	471.8344183805379	503.04469176249904	0.0	471.8344183805379	20.478801107224793	207899.43112997548
1.5	1	15.0	top_draggy	45.0	12.0	694.1442827560375	724.3843561379986	0.0	694.1442827560375	24.574561328669752	249479.31735597056
1.5	1	15.0	top_draggy	55.0	6.0	155.61208856578827	181.75442221080158	0.0	155.61208856578827	10.606601717798213	107677.51743897358
1.5	1	15.0	top_draggy	55.0	8.0	297.3828759377002	323.1189728192028	0.0	297.3828759377002	14.142135623730951	143570.02325196477
1.5	1	15.0	top_draggy	55.0	10.0	479.65960255872983	504.87339503000436	0.0	479.65960255872983	17.67766952966369	179462.52906495595
1.5	1	15.0	top_draggy	55.0	12.0	702.4422684288772	727.0176888432063	0.0	702.4422684288772	21.213203435596427	215355.03487794715
1.5	1	15.0	bottom_lifty	45.0	6.0	148.47461565253852	181.09608903449964	0.0	148.47461565253852	12.287280664334876	124739.65867798528
1.5	1	15.0	bottom_lifty	45.0	8.0	289.9445293460383	321.9486027279994	0.0	289.9445293460383	16.383040885779835	166319.54490398036
1.5	1	15.0	bottom_lifty	45.0	10.0	471.8344183805379	503.04469176249904	0.0	471.8344183805379	20.478801107224793	207899.43112997548
1.5	1	15.0	bottom_lifty	45.0	12.0	694.1442827560375	724.3843561379986	0.0	694.1442827560375	24.574561328669752	249479.31735597056
1.5	1	15.0	bottom_lifty	55.0	6.0	155.61208856578827	181.75442221080158	0.0	155.61208856578827	10.606601717798213	107677.51743897358
1.5	1	15.0	bottom_lifty	55.0	8.0	297.3828759377002	323.1189728192028	0.0	297.3828759377002	14.142135623730951	143570.02325196477
1.5	1	15.0	bottom_lifty	55.0	10.0	479.65960255872983	504.87339503000436	0.0	479.65960255872983	17.67766952966369	179462.52906495595
1.5	1	15.0	bottom_lifty	55.0	12.0	702.4422684288772	727.0176888432063	0.0	702.4422684288772	21.213203435596427	215355.03487794715
1.5	1	15.0	graded	45.0	6.0	148.47461565253852	181.09608903449964	0.0	148.47461565253852	12.287280664334876	124739.65867798528
1.5	1	15.0	graded	45.0	8.0	289.9445293460383	321.9486027279994	0.0	289.9445293460383	16.383040885779835	166319.54490398036
1.5	1	15.0	graded	45.0	10.0	471.8344183805379	503.04469176249904	0.0	471.8344183805379	20.478801107224793	207899.43112997548
