radius	n_rotors	spacing	profile	elevation	mean_anchor_tension	tension_per_kg	tension_cv	max_tension	min_tension
0.5	1	5.0	uniform	45.0	6.663152546203543	1.3326305092407087	4.408064007785449	48.00989270960724	-25.495423136443783
0.5	1	5.0	uniform	55.0	13.359274954000444	2.671854990800089	2.206380474688558	54.8524741110197	-18.913213279236757
0.5	1	5.0	uniform	65.0	16.23478875600536	3.246957751201072	1.617414056179996	53.199003250392025	-12.515155850739825
0.5	1	5.0	top_draggy	45.0	6.663152546203543	1.3326305092407087	4.408064007785449	48.00989270960724	-25.495423136443783
0.5	1	5.0	top_draggy	55.0	13.359274954000444	2.671854990800089	2.206380474688558	54.8524741110197	-18.913213279236757
0.5	1	5.0	top_draggy	65.0	16.23478875600536	3.246957751201072	1.617414056179996	53.199003250392025	-12.515155850739825
0.5	1	5.0	bottom_lifty	45.0	6.663152546203543	1.3326305092407087	4.408064007785449	48.00989270960724	-25.495423136443783
0.5	1	5.0	bottom_lifty	55.0	13.359274954000444	2.671854990800089	2.206380474688558	54.8524741110197	-18.913213279236757
0.5	1	5.0	bottom_lifty	65.0	16.23478875600536	3.246957751201072	1.617414056179996	53.199003250392025	-12.515155850739825
0.5	1	5.0	graded	45.0	6.663152546203543	1.3326305092407087	4.408064007785449	48.00989270960724	-25.495423136443783
0.5	1	5.0	graded	55.0	13.359274954000444	2.671854990800089	2.206380474688558	54.8524741110197	-18.913213279236757
0.5	1	5.0	graded	65.0	16.23478875600536	3.246957751201072	1.617414056179996	53.199003250392025	-12.515155850739825
0.5	1	10.0	uniform	45.0	7.721552546203543	1.5443105092407086	3.901218232212152	50.12669270960725	-25.26022313644378
0.5	1	10.0	uniform	55.0	14.417674954000447	2.883534990800089	2.096558714763153	56.96927411101971	-18.678013279236755
0.5	1	10.0	uniform	65.0	17.29318875600536	3.458637751201072	1.5619001545117501	55.31580325039203	-12.279955850739826
0.5	1	10.0	top_draggy	45.0	7.721552546203543	1.5443105092407086	3.901218232212152	50.12669270960725	-25.26022313644378
0.5	1	10.0	top_draggy	55.0	14.417674954000447	2.883534990800089	2.096558714763153	56.96927411101971	-18.678013279236755
0.5	1	10.0	top_draggy	65.0	17.29318875600536	3.458637751201072	1.5619001545117501	55.31580325039203	-12.279955850739826
0.5	1	10.0	bottom_lifty	45.0	7.721552546203543	1.5443105092407086	3.901218232212152	50.12669270960725	-25.26022313644378
0.5	1	10.0	bottom_lifty	55.0	14.417674954000447	2.883534990800089	2.096558714763153	56.96927411101971	-18.678013279236755
0.5	1	10.0	bottom_lifty	65.0	17.29318875600536	3.458637751201072	1.5619001545117501	55.31580325039203	-12.279955850739826
0.5	1	10.0	graded	45.0	7.721552546203543	1.5443105092407086	3.901218232212152	50.12669270960725	-25.26022313644378
0.5	1	10.0	graded	55.0	14.417674954000447	2.883534990800089	2.096558714763153	56.96927411101971	-18.678013279236755
0.5	1	10.0	graded	65.0	17.29318875600536	3.458637751201072	1.5619001545117501	55.31580325039203	-12.279955850739826
