radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	autorotation_rpm	tip_speed_bem
1.5	3	15.0	uniform	45.0	10.0	6.426153194182042	9.549296585513721	1.5
1.5	3	15.0	uniform	45.0	12.0	55.38930796705079	9.549296585513721	1.5
1.5	3	15.0	uniform	55.0	6.0	0.0	9.549296585513721	1.5
1.5	3	15.0	uniform	55.0	8.0	0.0	9.549296585513721	1.5
1.5	3	15.0	uniform	55.0	10.0	6.426153194182042	9.549296585513721	1.5
1.5	3	15.0	uniform	55.0	12.0	55.3892904065482	9.549296585513721	1.5
1.5	3	15.0	top_draggy	45.0	6.0	0.0	9.549296585513721	1.5
1.5	3	15.0	top_draggy	45.0	8.0	0.0	9.549296585513721	1.5
1.5	3	15.0	top_draggy	45.0	10.0	5.001016453538369	9.549296585513721	1.5
1.5	3	15.0	top_draggy	45.0	12.0	57.19660771682669	9.549296585513721	1.5
1.5	3	15.0	top_draggy	55.0	6.0	0.0	9.549296585513721	1.5
1.5	3	15.0	top_draggy	55.0	8.0	0.0	9.549296585513721	1.5
1.5	3	15.0	top_draggy	55.0	10.0	5.001016453538369	9.549296585513721	1.5
1.5	3	15.0	top_draggy	55.0	12.0	56.090907920565755	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	45.0	6.0	0.0	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	45.0	8.0	0.0	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	45.0	10.0	2.3792786774499746	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	45.0	12.0	56.901064278389896	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	55.0	6.0	0.0	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	55.0	8.0	0.0	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	55.0	10.0	2.3792786774499746	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	55.0	12.0	56.90105768443046	9.549296585513721	1.5
1.5	3	15.0	graded	45.0	6.0	0.0	9.549296585513721	1.5
1.5	3	15.0	graded	45.0	8.0	0.0	9.549296585513721	1.5
1.5	3	15.0	graded	45.0	10.0	1.7201471271657596	9.549296585513721	1.5
1.5	3	15.0	graded	45.0	12.0	57.157560964603135	9.549296585513721	1.5
1.5	3	15.0	graded	55.0	6.0	0.0	9.549296585513721	1.5
1.5	3	15.0	graded	55.0	8.0	0.0	9.549296585513721	1.5
1.5	3	15.0	graded	55.0	10.0	1.7201471271657596	9.549296585513721	1.5
1.5	3	15.0	graded	55.0	12.0	57.15755338970186	9.549296585513721	1.5
1.5	4	15.0	uniform	45.0	6.0	0.0	9.549296585513721	1.5
1.5	4	15.0	uniform	45.0	8.0	0.0	9.549296585513721	1.5
1.5	4	15.0	uniform	45.0	10.0	8.56820425890939	9.549296585513721	1.5
1.5	4	15.0	uniform	45.0	12.0	78.83650273747833	9.549296585513721	1.5
1.5	4	15.0	uniform	55.0	6.0	0.0	9.549296585513721	1.5
