radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	autorotation_rpm	tip_speed_bem
1.5	3	15.0	uniform	45.0	10.0	6.426153194182042	9.549296585513721	1.5
1.5	3	15.0	uniform	45.0	12.0	49.54173065438181	9.549296585513721	1.5
1.5	3	15.0	uniform	55.0	6.0	0.0	9.549296585513721	1.5
1.5	3	15.0	uniform	55.0	8.0	0.0	9.549296585513721	1.5
1.5	3	15.0	uniform	55.0	10.0	6.426153194182042	9.549296585513721	1.5
1.5	3	15.0	uniform	55.0	12.0	49.541281820272474	9.549296585513721	1.5
1.5	3	15.0	top_draggy	45.0	6.0	0.0	9.549296585513721	1.5
1.5	3	15.0	top_draggy	45.0	8.0	0.0	9.549296585513721	1.5
1.5	3	15.0	top_draggy	45.0	10.0	5.001016453538369	9.549296585513721	1.5
1.5	3	15.0	top_draggy	45.0	12.0	47.81398361685035	9.549296585513721	1.5
1.5	3	15.0	top_draggy	55.0	6.0	0.0	9.549296585513721	1.5
1.5	3	15.0	top_draggy	55.0	8.0	0.0	9.549296585513721	1.5
1.5	3	15.0	top_draggy	55.0	10.0	5.001016453538369	9.549296585513721	1.5
1.5	3	15.0	top_draggy	55.0	12.0	45.878411606561755	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	45.0	6.0	0.0	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	45.0	8.0	0.0	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	45.0	10.0	2.3792786774499746	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	45.0	12.0	54.72371093353448	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	55.0	6.0	0.0	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	55.0	8.0	0.0	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	55.0	10.0	2.3792786774499746	9.549296585513721	1.5
1.5	3	15.0	bottom_lifty	55.0	12.0	54.723710421543586	9.549296585513721	1.5
1.5	3	15.0	graded	45.0	6.0	0.0	9.549296585513721	1.5
1.5	3	15.0	graded	45.0	8.0	0.0	9.549296585513721	1.5
1.5	3	15.0	graded	45.0	10.0	1.7201471271657596	9.549296585513721	1.5
1.5	3	15.0	graded	45.0	12.0	54.11138307113008	9.549296585513721	1.5
1.5	3	15.0	graded	55.0	6.0	0.0	9.549296585513721	1.5
1.5	3	15.0	graded	55.0	8.0	0.0	9.549296585513721	1.5
1.5	3	15.0	graded	55.0	10.0	1.7201471271657596	9.549296585513721	1.5
1.5	3	15.0	graded	55.0	12.0	54.11138216681146	9.549296585513721	1.5
1.5	4	15.0	uniform	45.0	6.0	0.0	9.549296585513721	1.5
1.5	4	15.0	uniform	45.0	8.0	0.0	9.549296585513721	1.5
1.5	4	15.0	uniform	45.0	10.0	8.56820425890939	9.549296585513721	1.5
1.5	4	15.0	uniform	45.0	12.0	72.53978558629579	9.549296585513721	1.5
1.5	4	15.0	uniform	55.0	6.0	0.0	9.549296585513721	1.5
1.5	4	15.0	uniform	55.0	8.0	0.0	9.549296585513721	1.5
1.5	4	15.0	uniform	55.0	10.0	8.56820425890939	9.549296585513721	1.5
1.5	4	15.0	uniform	55.0	12.0	72.5392981091444	9.549296585513721	1.5
1.5	4	15.0	top_draggy	45.0	6.0	0.0	9.549296585513721	1.5
1.5	4	15.0	top_draggy	45.0	8.0	0.0	9.549296585513721	1.5
1.5	4	15.0	top_draggy	45.0	10.0	6.686353250240941	9.549296585513721	1.5
1.5	4	15.0	top_draggy	45.0	12.0	70.79990044891201	9.549296585513721	1.5
1.5	4	15.0	top_draggy	55.0	6.0	0.0	9.549296585513721	1.5
1.5	4	15.0	top_draggy	55.0	8.0	0.0	9.549296585513721	1.5
1.5	4	15.0	top_draggy	55.0	10.0	6.686353250240941	9.549296585513721	1.5
1.5	4	15.0	top_draggy	55.0	12.0	68.8780803564567	9.549296585513721	1.5
1.5	4	15.0	bottom_lifty	45.0	6.0	0.0	9.549296585513721	1.5
1.5	4	15.0	bottom_lifty	45.0	8.0	0.0	9.549296585513721	1.5
1.5	4	15.0	bottom_lifty	45.0	10.0	4.064615474152546	9.549296585513721	1.5
1.5	4	15.0	bottom_lifty	45.0	12.0	77.56279902008842	9.549296585513721	1.5
1.5	4	15.0	bottom_lifty	55.0	6.0	0.0	9.549296585513721	1.5
1.5	4	15.0	bottom_lifty	55.0	8.0	0.0	9.549296585513721	1.5
1.5	4	15.0	bottom_lifty	55.0	10.0	4.064615474152546	9.549296585513721	1.5
1.5	4	15.0	bottom_lifty	55.0	12.0	77.56279937822575	9.549296585513721	1.5
1.5	4	15.0	graded	45.0	6.0	0.0	9.549296585513721	1.5
1.5	4	15.0	graded	45.0	8.0	0.0	9.549296585513721	1.5
1.5	4	15.0	graded	45.0	10.0	2.7793073835928013	9.549296585513721	1.5
1.5	4	15.0	graded	45.0	12.0	77.39674963103428	9.549296585513721	1.5
1.5	4	15.0	graded	55.0	6.0	0.0	9.549296585513721	1.5
1.5	4	15.0	graded	55.0	8.0	0.0	9.549296585513721	1.5
1.5	4	15.0	graded	55.0	10.0	2.7793073835928013	9.549296585513721	1.5
1.5	4	15.0	graded	55.0	12.0	77.3967488831436	9.549296585513721	1.5
2.0	1	15.0	uniform	45.0	6.0	0.0	9.549296585513721	2.0
2.0	1	15.0	uniform	45.0	8.0	92.57913621711623	123.9241564766111	25.954614639282227
2.0	1	15.0	uniform	45.0	10.0	145.73237088135008	146.91781528600004	30.77039527893066
2.0	1	15.0	uniform	45.0	12.0	210.9376610685794	170.0915907372617	35.62389945983887
2.0	1	15.0	uniform	55.0	6.0	0.0	9.549296585513721	2.0
2.0	1	15.0	uniform	55.0	8.0	92.5955880852773	123.93419230123156	25.956716537475586
2.0	1	15.0	uniform	55.0	10.0	145.755639410314	146.92890751321215	30.77271842956543
