wind_speed,distance_from_anchor,tension,wind_at_rotor
4.0,15.0,17.5010502863874,4.033115578259435
4.0,30.0,57.28190651195497,4.444110688605726
4.0,45.0,105.86250905459431,4.703678649845948
4.0,60.0,164.79926347975282,4.896988303296577
4.0,0.0,164.79926347975282,0.0
6.0,15.0,82.17963381247684,6.049673367389152
6.0,30.0,192.04218740798234,6.666166032908588
6.0,45.0,326.28920537855265,7.055517974768922
6.0,60.0,475.49274818164326,7.3454824549448645
6.0,0.0,475.49274818164326,0.0
8.0,15.0,151.43933652282098,8.06623115651887
8.0,30.0,351.5517244211261,8.888221377211451
8.0,45.0,580.0273050746923,9.407357299691895
8.0,60.0,840.4445889978563,9.793976606593153
8.0,0.0,840.4445889978563,0.0
10.0,15.0,226.08920585892923,10.082788945648586
10.0,30.0,528.8064270485036,11.110276721514314
10.0,45.0,898.7495643054839,11.75919662461487
10.0,60.0,1318.5884783725996,12.242470758241442
10.0,0.0,1318.5884783725996,0.0
12.0,15.0,327.58543286731305,12.099346734778305
12.0,30.0,770.3108226454344,13.332332065817177
12.0,45.0,1272.8155581251297,14.111035949537843
12.0,60.0,1801.2544566865754,14.690964909889729
12.0,0.0,1801.2544566865754,0.0
14.0,15.0,449.83268492152246,14.115904523908021
14.0,30.0,1009.9931467926801,15.55438741012004
14.0,45.0,1633.0248450874656,16.462875274460817
14.0,60.0,2346.748196150439,17.13945906153802
14.0,0.0,2346.748196150439,0.0
16.0,15.0,559.8156868820429,16.13246231303774
16.0,30.0,1246.7518045207355,17.776442754422902
16.0,45.0,2075.637456960678,18.81471459938379
16.0,60.0,3015.0272976106103,19.587953213186307
16.0,0.0,3015.0272976106103,0.0
